?????;?????????;??? ?????;??? ???? ????;??? ???? ????;??? ???? ?????;??? ???? ?????
28/06/2025;?????;1830;1300;1500;1800;2200
28/06/2025;?????;1045;750;1000;1000;1200
28/06/2025;???? ???;2090;1200;2500;1500;2800
28/06/2025;???? ???;1430;1000;1500;1300;1800
28/06/2025;??? ???;1440;1000;1200;1300;1500
28/06/2025;????;1370;0;0;0;0
28/06/2025;??? ????????;1240;0;0;0;0
28/06/2025;????;3020;2000;4000;3200;4500
28/06/2025;?????;3400;2000;4000;2500;4500
28/06/2025;???;3150;2000;3000;2500;4000
28/06/2025;????;1410;1200;1500;1500;1800
28/06/2025;????;940;500;1000;800;1200
28/06/2025;????;3750;2500;3500;3000;5500
28/06/2025;??? ???? ????;39943;0;0;38000;41000
28/06/2025;??? ???? ??????;30400;0;0;0;0
28/06/2025;??? ???;50514;0;0;44000;52000
28/06/2025;???? ???? ?????;7837;0;0;6600;8000
28/06/2025;????? ??? ????;15654;0;0;14990;16000
28/06/2025;???;1000;0;0;1000;1080
28/06/2025;??????;4900;0;0;0;0
28/06/2025;????;11400;0;0;0;0
28/06/2025;?????;10643;0;0;0;0
05/07/2025;?????;1921;1300;1500;1800;2200
05/07/2025;?????;1040;750;1000;1000;1200
05/07/2025;???? ???;1907;1200;2000;1500;2800
05/07/2025;???? ???;1345;1000;1500;1500;1800
05/07/2025;??? ???;1367;1000;1200;1200;1400
05/07/2025;????;1370;0;0;0;0
05/07/2025;??? ????????;1200;0;0;0;0
05/07/2025;?????;3400;2000;3000;2500;4000
05/07/2025;???;2770;2000;3000;2500;4000
05/07/2025;????;1274;1000;1200;1200;1500
05/07/2025;????;833;500;800;800;1000
05/07/2025;????;3750;2500;3500;3000;5000
05/07/2025;??? ???? ????;40600;0;0;38000;45000
05/07/2025;??? ???? ??????;31933;0;0;0;0
05/07/2025;??? ???;52600;0;0;43000;54000
05/07/2025;???? ???? ?????;7513;0;0;6900;8000
05/07/2025;????? ??? ????;15580;0;0;15500;16000
05/07/2025;???;1000;0;0;1000;1100
05/07/2025;??????;4400;0;0;0;0
05/07/2025;????;10840;0;0;0;0
05/07/2025;?????;9833;0;0;0;0
